3, 0, 0.1021568775177002
7, 0, 0.3407440185546875
5, 0, 0.2535855770111084
1000, 10, None
1000, 10, None
8, 8, 55.28763008117676
1000, 10, None
1000, 10, None
1000, 10, None
7, 7, 70.27400159835815
5, 1, 72.29030728340149
7, 1, 73.88904809951782
4, 1, 74.53464651107788
7, 1, 74.86475443840027
8, 1, 74.9787425994873
4, 1, 78.02168703079224
9, 7, 83.9509630203247
1000, 10, None
1000, 10, None
1000, 10, None
1000, 10, None
1000, 10, None
1000, 10, None
7, 6, 121.42921829223633
8, 5, 131.87821555137634
4, 2, 135.8384919166565
5, 2, 138.91009879112244
6, 9, 139.16917252540588
5, 7, 139.22787380218506
6, 2, 141.12166333198547
4, 2, 141.67506217956543
7, 2, 144.94760823249817
1000, 10, None
7, 8, 159.93278455734253
5, 7, 168.39335107803345
1000, 10, None
7, 3, 187.67173600196838
1000, 10, None
5, 5, 193.09380102157593
1000, 10, None
7, 8, 203.22153615951538
1000, 10, None
1000, 10, None
1000, 10, None
1000, 10, None
6, 5, 219.70304036140442
4, 5, 221.2147777080536
1000, 10, None
1000, 10, None
8, 8, 236.00328588485718
1000, 10, None
1000, 10, None
1000, 10, None
1000, 10, None
1000, 10, None
1000, 10, None
1000, 10, None
1000, 10, None
1000, 10, None
1000, 10, None
1000, 10, None
1000, 10, None
6, 5, 274.23223519325256
6, 5, 275.92333912849426
1000, 10, None
1000, 10, None
4, 7, 277.2489573955536
1000, 10, None
4, 7, 296.13044118881226
7, 6, 296.9734253883362
8, 7, 297.84919452667236
1000, 10, None
1000, 10, None
1000, 10, None
1000, 10, None
1000, 10, None
1000, 10, None
1000, 10, None
1000, 10, None
1000, 10, None
1000, 10, None
1000, 10, None
4, 8, 328.3430709838867
1000, 10, None
1000, 10, None
4, 9, 331.6408395767212
1000, 10, None
1000, 10, None
1000, 10, None
1000, 10, None
1000, 10, None
1000, 10, None
1000, 10, None
1000, 10, None
1000, 10, None
1000, 10, None
1000, 10, None
1000, 10, None
1000, 10, None
1000, 10, None
