Iterations, Time, Found,,,,,,,
6,0.001302242279053, True,,,,,,,
87,0.055780410766602, True,,,,,,,
37,0.027472019195557, True,,,Found,Not Found,Avg Run Time,Min Run Time,Max Run Time
93,0.064901351928711, True,,,100,0,0.977583820819855,0.001302242279053,2.3042151927948
218,0.15792989730835, True,,,,,,,
106,0.175498962402344, True,,,,,,,
95,0.109809398651123, True,,,,,,,
43,0.050700426101685, True,,,,,,,
185,0.264333009719849, True,,,,,,,
248,0.287769317626953, True,,,,,,,
31,0.096802949905396, True,,,,,,,
227,0.281785249710083, True,,,,,,,
245,0.276805639266968, True,,,,,,,
168,0.226093053817749, True,,,,,,,
27,0.054556131362915, True,,,,,,,
160,0.242199182510376, True,,,,,,,
134,0.235176563262939, True,,,,,,,
237,0.329695701599121, True,,,,,,,
199,0.313843965530395, True,,,,,,,
290,0.449185132980347, True,,,,,,,
349,0.456311702728272, True,,,,,,,
287,0.376796245574951, True,,,,,,,
400,0.497676134109497, True,,,,,,,
207,0.306883573532104, True,,,,,,,
443,0.543243169784546, True,,,,,,,
400,0.545822381973267, True,,,,,,,
299,0.381157398223877, True,,,,,,,
308,0.486654996871948, True,,,,,,,
436,0.53756046295166, True,,,,,,,
568,0.663355588912964, True,,,,,,,
302,0.441728591918945, True,,,,,,,
325,0.561702013015747, True,,,,,,,
445,0.692240715026856, True,,,,,,,
551,0.582399606704712, True,,,,,,,
347,0.646924018859863, True,,,,,,,
395,0.575632572174072, True,,,,,,,
516,0.78392219543457, True,,,,,,,
791,0.878995418548584, True,,,,,,,
619,0.857067108154297, True,,,,,,,
738,0.868502140045166, True,,,,,,,
462,0.628659248352051, True,,,,,,,
618,0.832075834274292, True,,,,,,,
713,0.805967807769775, True,,,,,,,
722,0.944965839385986, True,,,,,,,
658,0.945494413375854, True,,,,,,,
784,0.798279285430908, True,,,,,,,
793,0.957780361175537, True,,,,,,,
624,0.914912223815918, True,,,,,,,
833,0.79969334602356, True,,,,,,,
825,1.06089782714844, True,,,,,,,
940,1.11535406112671, True,,,,,,,
692,0.929527759552002, True,,,,,,,
818,1.05412769317627, True,,,,,,,
851,1.03183794021606, True,,,,,,,
889,1.06855225563049, True,,,,,,,
834,0.985273838043213, True,,,,,,,
749,0.950253248214722, True,,,,,,,
879,0.98004674911499, True,,,,,,,
924,1.13877439498901, True,,,,,,,
825,1.12557053565979, True,,,,,,,
804,1.01099991798401, True,,,,,,,
1273,1.30111408233643, True,,,,,,,
1069,1.30327868461609, True,,,,,,,
848,1.06440305709839, True,,,,,,,
1103,1.28329730033875, True,,,,,,,
1275,1.40647459030151, True,,,,,,,
1191,1.40818548202515, True,,,,,,,
1354,1.25949907302856, True,,,,,,,
1682,1.4555082321167, True,,,,,,,
1351,1.48554968833923, True,,,,,,,
1174,1.26082468032837, True,,,,,,,
1141,1.39096021652222, True,,,,,,,
1476,1.52175092697144, True,,,,,,,
1332,1.39601373672485, True,,,,,,,
1359,1.55091691017151, True,,,,,,,
1590,1.44249367713928, True,,,,,,,
1438,1.35225796699524, True,,,,,,,
1528,1.5803599357605, True,,,,,,,
1910,1.64352869987488, True,,,,,,,
1826,1.66486668586731, True,,,,,,,
1922,1.70449066162109, True,,,,,,,
2261,1.63073492050171, True,,,,,,,
1690,1.4501051902771, True,,,,,,,
1674,1.55211067199707, True,,,,,,,
1994,1.73395204544067, True,,,,,,,
2115,1.75278902053833, True,,,,,,,
2086,1.72654008865356, True,,,,,,,
1950,1.63518118858337, True,,,,,,,
2180,1.82491946220398, True,,,,,,,
2525,1.83707809448242, True,,,,,,,
2298,1.80120706558228, True,,,,,,,
2395,1.84590983390808, True,,,,,,,
2238,1.6385509967804, True,,,,,,,
2383,1.73810482025146, True,,,,,,,
2656,1.86521935462952, True,,,,,,,
3195,1.88658380508423, True,,,,,,,
2710,1.81265354156494, True,,,,,,,
3620,1.92962121963501, True,,,,,,,
4242,1.85187005996704, True,,,,,,,
7914,2.3042151927948, True,,,,,,,
